Cultivar Name,Female Parent,Male Parent,Breeder,Year
laakdal,incarnata,white star,raoul & patrizia vranken-smeets,2011
labgirl,not registered,umbilicata,oerstedii var. choconiana,roland fischer
la brunella,extinct,kermesina,amethystina sancta tereza,maurizio vecchia
lacey ,selection of edulis,0,0,0
lada,cincinnata,caerulea,leopold sevcik,1993
lady camille,thuraia,???,mark stratton,2008
lady cornelia everdina,garckei,caerulea 'avalanche',rob mcphail,2021
lady in red,lady margaret,vitifolia,henk wouters,2005
lady margaret,coccinea,incarnata,tim skimina,1996
la fenice,edmundoi (pink),caerulea pierre pomie,maurizio vecchia,0
la lucchese,fata confetto,kermesina,maurizio vecchia,2008
lambiekins,emil kugler,loefgrenii iporanga,myles irvine,2006
lamepiana,vitifolia,hatschbachii,aline pinto dos santos,2022
la morellina,asterix,amethystina minas gerais,maurizio vecchia,2007
la mortola,0,0,0,0
lana,kermesina,actinia,shawn mattison,2014
lana 2,kermesina,actinia,shawn mattison,2015
lanphiers stermer,selection of edulis,0,0,0
lapis lazuli,selection of p.caerulea,0,0,0
la serenissima,not registered / extinct,edmundoi,caerulea constance eliott,maurizio vecchia
latifolia,invalid,syn.: decaisneana,0,0
la triestina,purple pendulum,white mirror,raoul & patrizia vranken-smeets,2011
laura,decaisneana,caerulea constance eliott,leopold sevcik,1998
laurens laurens,purple rain,avalanche,cor laurens,2002
lavender lady,???,???,???,???
la venexiana,edmundoi,caerulea pierre pomie,maurizio vecchia,2007
lawsoniana,princeps,alata,masters,1868
leida,incarnata,cincinnata (dark pollen),maurizio vecchia,2005
lemicheziii / lemischeziana,sir joseph paxton,1847,0,0
lena sc.,trifasciata,misera,andreas beck,2021
lia vallini,fata confetto,white star,raoul & patrizia vranken-smeets,2011
libuse,incarnata,princeps,leopold sevcik,1993
light blue,selection of caerulea,0,0,0
light crimson,0,0,0,0
lilac lady,caerulea,violacea,tresederss nurserie,1972
linda,invalid,existing species linda,0,0
lineasrosea,quadrangularis,caerulea,vanderplank,1991
linnie ii,scarlet flame,incarnata alba,bob holzinger,2018
linz red ribbon,princeps,decaisneana,johann r. kienbichl,2004
lisa / liza,incarnata,princeps,leopold sevcik,0
little boy blue,davidii,caerulea,john vanderplank,2021
little coral,selection of jamesonii,0,0,0
little dot beardshaw,(amethyst caerulea),caerulea,colin beardshaw,2005
little orchid,guido van herck,0,0,0
livie,cincinnata,herbertiana,leopold sevcik,1997
lobo,apetala,ornithoura,patrick worley / rick mccain,0
lois lane,cincinnata,princeps,cor laurens,1994
lorayne,selection of incarnata,don martinson,0,0
loudonii,princeps,kermesina,c. lemaire,1847
louise,incarnata f. alba,princeps,graeme boocock,2021
louis-manuelii,0,0,0,0
love,edmundoi,caerulea,martine sanchez,2016
lovetta,kermesina,munzii,clay dove,2017
lowlands,syn.: warmlands,0,0,0
lucia,(amethyst beauty x eichleriana),???,leopold sevcik,1999
lucid,luzmarina,sidifolia,0,0
lucy o,(amethyst  caerulea),purple haze,christian offert,2009
lucy zara,conzattiana,citrina,martin wills,2004
ludmila,incarnata,princeps,leopold sevcik,1993
luise beton,fata confetto,beauty of hannover,robert dostal,2023
lunametista,caerulea constance eliott,loefgrenii iporanga,maurizio vecchia,0
lydie,panda,caerulea,martine sanchez,2016
macae de cima,selection of amethystina,0,0,0
machou,jacques jannel,0,0,0
mackenzie,greg cunningham,2001,0,0
mackintoshii,invalid,kew gardens,1931,0
macleischii,invalid,0,0,0
madame betsie greijmans,sanguinolenta,citrina,henk wouters,1998
madeira,selection of manicata,0,0,0
madeleine goumas,lucy zara,cobanensis,martin wills,2005
madlena,not registered,byron beauty,aff. oerstedii,0
madonna,buonapartea,princeps,eduard otto,1873
mae,indigo dreams,caerulea,greg cunningham,0
maeva,amethyst,subpeltata,jean j. segalen,1998
maggie,caerulea,elizabeth,guido van herck,0
magic maiden,gritensis,kermesina,roland fischer,2004
maia,not registered / extinct,incense,caerulea pierre pomie,maurizio vecchia
maicaya,0,0,0,0
majorca,selection of caerulea,0,0,0
maloya,edulis,edulis f. flavicarpa,0,0
mammoth purple granadilla,selection of edulis,0,0,0
manapany,not registered,byron beauty,temptation,j. segalen
manta,xiikzodz,coriacea,maurizio vecchia,0
mantega,manta,megacoriacea,rosali ziller,2010
mansai 1,miniata,?,fuchuan wu,2022
mansai 8,miniata,?,fuchuan wu,2022
mansai red,miniata,lady margaret,fuchuan wu,2021
maranda / miranda,0,0,0,0
marcela,incarnata,(incarnata princeps),leopold sevcik,1996
